window_id,window_start_s,window_end_s,label,anomaly_type,mean,standard_deviation,rms,minimum,maximum,peak_to_peak,median,kurtosis,dominant_frequency_hz,spectral_energy,source_file
39,40.99618188599971,41.99416785599988,0,normal,1.0597393359411635,0.004593188324224665,1.0597492899360679,1.045796471594736,1.0696527660881356,0.023856294493399544,1.059214440045074,0.02588801137241603,9.0,0.010506772840656169,normal_20260725_185107.csv
40,41.99617013999978,42.99416898099981,0,normal,1.059508852980937,0.0050562609721963225,1.0595209178303182,1.0452363799638815,1.0722163261208066,0.026979946156925116,1.0592718772817489,-0.23376726650272417,8.0,0.012732752025514951,normal_20260725_185107.csv
41,42.99617241299985,43.99416803299983,0,normal,1.0598176046059529,0.004511393055366248,1.0598272065294416,1.0507008232603607,1.0727552423549371,0.022054419094576394,1.0592718772817489,-0.1680234494299535,50.0,0.010136027068513003,normal_20260725_185107.csv
42,43.99618781799973,44.994168345999704,0,normal,1.0597867385864383,0.005360868989259692,1.0598002973202074,1.044683267789812,1.0751770226339474,0.030493754844135523,1.0592718772817489,0.4027655717052405,29.0,0.014312212332123162,normal_20260725_185107.csv
43,44.99617592699952,45.99416880799982,0,normal,1.0605847328922373,0.004954619652584491,1.060596305811028,1.0502592108617756,1.075367983529359,0.02510877266758338,1.0599752308426833,-0.028325358940107126,18.0,0.012225745655986345,normal_20260725_185107.csv
44,45.99618040699989,46.999363668999656,0,normal,1.0599989637000287,0.005670588581907468,1.0600141313303328,1.0466324139830565,1.0733222302738352,0.026689816290778712,1.059386742412798,-0.3227011092268488,11.0,0.01601376128691405,normal_20260725_185107.csv
45,47.00528837199955,47.994167697999735,0,normal,1.0598001549602827,0.004653663735254692,1.0598103722081604,1.0476999952276411,1.0708252378422911,0.023125242614649988,1.059322132309148,-0.2913748374125946,37.0,0.010785283637433416,normal_20260725_185107.csv
46,47.99616703799985,48.99416873699966,0,normal,1.0599729964803997,0.005555853882383247,1.0599875568986648,1.048353079835224,1.076915637364413,0.028562557529189014,1.0592359793738126,0.5232538203816843,15.0,0.01537499174845318,normal_20260725_185107.csv
47,48.99616702199956,49.99417138899981,0,normal,1.0606221576055859,0.0056390474436701105,1.0606371481614247,1.0482660253962257,1.074844528292348,0.02657850289612229,1.0598030241511862,-0.27540044560745747,40.0,0.015836912052408583,normal_20260725_185107.csv
48,49.99617035799975,50.99416770799963,0,normal,1.0599674442367095,0.004938212054799101,1.059978947328672,1.0496290487596085,1.0716203665477808,0.021991317788172315,1.0593544373609731,-0.47617117892258465,27.0,0.01214872827090381,normal_20260725_185107.csv
