monotonic_ns,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes
94707415553596,0.0,241106944,240386048
94707515758349,0.0,241106944,240386048
94707615965491,0.0,241106944,240386048
94707716179966,0.0,241106944,240386048
94707816369571,9.981082853704596,241106944,240386048
94707916575749,0.0,241106944,240386048
94708016754669,0.0,241106944,240386048
94708116942681,0.0,241106944,240386048
94708217162304,0.0,241123328,240386048
94708317369261,0.0,241123328,240386048
94708417561736,0.0,241123328,240386048
94708517775767,0.0,241123328,240386048
94708617975558,0.0,241123328,240386048
94708718211497,0.0,241123328,240386048
94708818397788,0.0,241123328,240386048
94708918619616,9.977866298291257,241123328,240386048
94709018821999,0.0,241123328,240386048
94709118984179,0.0,241123328,240386048
94709219157413,0.0,241123328,240386048
94709319346334,0.0,241123328,240386048
94709419520865,0.0,241123328,240386048
94709519697174,0.0,241123328,240386048
94709619889392,0.0,241123328,240386048
94709720152777,0.0,241123328,240386048
94709820359087,0.0,241123328,240386048
94709920525378,0.0,241123328,240386048
94710020712743,0.0,241123328,240386048
94710120916646,0.0,241123328,240386048
94710221083456,0.0,241123328,240386048
94710321254469,0.0,241123328,240386048
94710421438446,0.0,241123328,240386048
94710521586108,0.0,241123328,240386048
94710621751196,9.983474055517433,241123328,240386048
94710721935266,0.0,241123328,240386048
94710822106669,0.0,241123328,240386048
94710922269183,0.0,241123328,240386048
94711022445346,0.0,241123328,240386048
94711122597063,0.0,241123328,240386048
94711222774763,0.0,241123328,240386048
94711322919851,0.0,241123328,240386048
94711423090717,0.0,241123328,240386048
94711523266065,0.0,241123328,240386048
94711623413098,0.0,241123328,240386048
94711723582317,0.0,241123328,240386048
94711823773740,9.980962510497731,241123328,240386048
94711923929977,0.0,241123328,240386048
94712024108399,0.0,241123328,240386048
94712124284951,0.0,241123328,240386048
94712224460078,0.0,241123328,240386048
94712324668593,0.0,241123328,240386048
94712424838145,0.0,241123328,240386048
94712525135644,0.0,241123328,240386048
94712625339141,0.0,241123328,240386048
94712725504657,0.0,241123328,240386048
94712825697210,0.0,241123328,240386048
94712925908263,0.0,241123328,240386048
94713026078501,9.9829774260596,241123328,240386048
94713126259091,0.0,241123328,240386048
94713226475811,0.0,241123328,240386048
94713326715902,0.0,241123328,240386048
94713426906974,0.0,241123328,240386048
94713527116953,0.0,241123328,240386048
94713627294822,0.0,241123328,240386048
94713727513691,0.0,241123328,240386048
94713827686819,0.0,241123328,240386048
94713927884835,0.0,241123328,240386048
94714028103853,0.0,241123328,240386048
94714128274758,9.982892516591576,241123328,240386048
94714228455071,0.0,241123328,240386048
94714328638699,0.0,241123328,240386048
94714428812901,0.0,241123328,240386048
94714528970807,0.0,241123328,240386048
94714629140139,0.0,241123328,240386048
94714729317119,0.0,241123328,240386048
94714829501266,0.0,241123328,240386048
94714929658043,0.0,241123328,240386048
94715029835338,0.0,241123328,240386048
94715130055023,0.0,241123328,240386048
94715230251244,0.0,241139712,240386048
94715330444836,0.0,241139712,240386048
