window_index,window_complete_monotonic_ns,decision_monotonic_ns,draw_completed_monotonic_ns,decision_to_gui_draw_ms,window_to_gui_draw_ms,gui_messages_dropped
579,15576270030253,15576292524723,15576448986556,156.461833,178.956303,0
580,15576887807504,15576912982032,15577072812865,159.830833,185.005361,0
581,15577506282905,15577522456781,15577663902608,141.445827,157.619703,0
582,15578124167694,15578141043719,15578296271051,155.227332,172.103357,0
583,15578741040206,15578756699730,15578873144752,116.445022,132.104546,0
584,15579358607088,15579374374742,15579504693547,130.318805,146.086459,0
585,15579976646156,15579992333754,15580137193935,144.860181,160.547779,0
586,15580594908039,15580612731953,15580765190692,152.458739,170.282653,0
587,15581213639145,15581229512169,15581348191433,118.679264,134.552288,0
588,15581830365528,15581845836570,15581980579396,134.742826,150.213868,0
589,15582448697949,15582472942105,15582642544128,169.602023,193.846179,0
590,15583067219574,15583084278969,15583219541794,135.262825,152.32222,0
591,15583685292550,15583700958908,15583848527719,147.568811,163.235169,0
592,15584302059545,15584318056681,15584481772590,163.715909,179.713045,0
593,15584920421430,15584935730899,15585062685332,126.954433,142.263902,0
594,15585538781000,15585554336117,15585708831097,154.49498,170.050097,0
595,15586156261070,15586171725705,15586283459356,111.733651,127.198286,0
596,15586773482622,15586789054276,15586917560432,128.506156,144.07781,0
597,15587392483767,15587408136199,15587551626379,143.49018,159.142612,0
598,15588010436505,15588033301680,15588173320081,140.018401,162.883576,0
599,15588629270613,15588646579731,15588804986213,158.406482,175.7156,0
600,15589246619740,15589262085505,15589391492680,129.407175,144.87294,0
601,15589864511404,15589880144410,15590027059110,146.9147,162.547706,0
602,15590483044254,15590498681630,15590633710474,135.028844,150.66622,0
603,15591099374196,15591115294220,15591232417058,117.122838,133.042862,0
604,15591718600324,15591734177941,15591894087294,159.909353,175.48697,0
605,15592337032638,15592353104403,15592482237134,129.132731,145.204496,0
606,15592954152117,15592971148012,15593123402548,152.254536,169.250431,0
607,15593571540653,15593587739770,15593750591865,162.852095,179.051212,0
608,15594189612782,15594205074343,15594343704985,138.630642,154.092203,0
609,15594808191967,15594824046991,15594993382700,169.335709,185.190733,0
610,15595425745262,15595441901065,15595576616113,134.715048,150.870851,0
611,15596044586855,15596063681566,15596224067234,160.385668,179.480379,0
612,15596661149484,15596680831066,15596804842240,124.011174,143.692756,0
613,15597280746726,15597298116862,15597436634690,138.517828,155.887964,0
614,15597898273374,15597914208732,15598068667269,154.458537,170.393895,0
615,15598516176357,15598539720884,15598683644324,143.92344,167.467967,0
616,15599133380265,15599151281475,15599311196459,159.914984,177.816194,0
617,15599751226247,15599766843697,15599895502892,128.659195,144.276645,0
618,15600370570712,15600387038996,15600529300214,142.261218,158.729502,0
619,15600986759602,15601004514386,15601171209372,166.694986,184.44977,0
620,15601605258345,15601620757610,15601752699880,131.94227,147.441535,0
621,15602223787754,15602239502390,15602381758978,142.256588,157.971224,0
