iteration,source_window,processing_latency_ms
783,315,0.034482
784,316,0.034223
785,317,0.033889
786,318,0.034056
787,319,0.033851
788,320,0.039834
789,321,0.035389
790,322,0.034629
791,323,0.034704
792,324,0.034296
793,325,0.033926
794,326,0.033926
795,327,0.033945
796,328,0.033778
797,329,0.040277
798,330,0.0345
799,331,0.034518
800,332,0.033926
801,333,0.034093
802,334,0.033926
803,335,0.033852
804,336,0.033815
805,337,0.033797
806,338,0.033834
807,339,0.033759
808,340,0.033963
809,341,0.034352
810,342,0.033907
811,343,0.033666
812,344,0.03387
813,345,0.034259
814,346,0.033741
815,347,0.034333
816,348,0.033722
817,349,0.034056
818,350,0.033759
819,351,0.034093
820,352,0.033944
821,353,0.033759
822,354,0.033889
823,355,0.033981
824,356,0.033796
825,357,0.033778
826,358,0.033945
827,359,0.034018
828,360,0.033852
829,361,0.033741
830,362,0.03387
831,363,0.033907
832,364,0.033611
833,365,0.034278
834,366,0.033907
835,367,0.033741
836,368,0.033612
837,369,0.033741
838,370,0.033871
839,371,0.03374
840,372,0.033907
841,373,0.0335
842,374,0.033759
843,375,0.033888
844,376,0.034
845,377,0.033741
846,378,0.033852
847,379,0.033703
848,380,0.033741
849,381,0.033833
850,382,0.033908
851,383,0.033796
852,384,0.034018
853,385,0.033611
854,386,0.033815
855,387,0.033815
856,388,0.033648
857,389,0.033926
858,390,0.03374
859,391,0.033833
860,392,0.033722
861,393,0.033907
862,394,0.033963
863,395,0.033667
864,396,0.033592
865,397,0.034074
866,398,0.033796
867,399,0.034167
868,400,0.034407
869,401,0.033759
870,402,0.033704
871,403,0.033741
872,404,0.033871
873,405,0.033852
874,406,0.033667
875,407,0.03413
876,408,0.033741
877,409,0.034111
878,410,0.033574
879,411,0.033871
880,412,0.033833
881,413,0.034111
882,414,0.033778
883,415,0.033722
884,416,0.033722
885,417,0.033741
886,418,0.0335
887,419,0.033778
888,420,0.033611
889,421,0.03387
890,422,0.033574
891,423,0.033777
892,424,0.033796
893,425,0.033741
894,426,0.033537
895,427,0.033723
896,428,0.03387
897,429,0.033797
898,430,0.033778
899,431,0.033907
900,432,0.034241
901,433,0.050018
902,434,0.039296
903,435,0.034963
904,436,0.034333
905,437,0.034408
906,438,0.034296
907,439,0.034093
908,440,0.034074
909,441,0.034204
910,442,0.034203
911,443,0.034148
912,444,0.034093
913,445,0.034444
914,446,0.034074
915,447,0.034129
916,448,0.033963
917,449,0.034018
918,450,0.034111
919,451,0.034055
920,452,0.034056
921,453,0.034278
922,454,0.034056
923,455,0.034018
924,456,0.033963
925,457,0.034259
926,458,0.033981
927,459,0.034296
928,460,0.033833
929,461,0.033926
930,462,0.034056
931,463,0.033815
932,464,0.033944
933,465,0.034
934,466,0.033908
935,467,0.034148
936,0,0.034222
937,1,0.034167
938,2,0.033852
939,3,0.033834
940,4,0.033889
941,5,0.034092
942,6,0.033907
943,7,0.034
944,8,0.034148
945,9,0.033944
946,10,0.034222
947,11,0.034203
948,12,0.033981
949,13,0.033814
950,14,0.033834
951,15,0.033889
952,16,0.033778
953,17,0.033611
954,18,0.034889
955,19,0.033926
956,20,0.033759
957,21,0.034055
958,22,0.033852
959,23,0.033945
960,24,0.034074
961,25,0.034112
962,26,0.034185
963,27,0.034537
964,28,0.034
965,29,0.033907
966,30,0.034018
967,31,0.033833
968,32,0.034019
969,33,0.034
970,34,0.034111
971,35,0.034
972,36,0.033852
973,37,0.034074
974,38,0.034166
975,39,0.033982
976,40,0.033871
977,41,0.034
978,42,0.034222
979,43,0.034148
980,44,0.034111
981,45,0.034
982,46,0.034055
983,47,0.033907
984,48,0.034426
985,49,0.033834
986,50,0.03387
987,51,0.033981
988,52,0.033871
989,53,0.033908
990,54,0.033796
991,55,0.033667
992,56,0.033907
993,57,0.036463
994,58,0.034333
995,59,0.033907
996,60,0.034074
997,61,0.033852
998,62,0.034149
999,63,0.033815
