iteration,source_window,processing_latency_ms
644,176,0.057667
645,177,0.057555
646,178,0.057445
647,179,0.057
648,180,0.057445
649,181,0.357389
650,182,0.072112
651,183,0.06124
652,184,0.059315
653,185,0.059981
654,186,0.063907
655,187,0.063703
656,188,0.06424
657,189,0.062185
658,190,0.058
659,191,0.057666
660,192,0.057741
661,193,0.058056
662,194,0.057278
663,195,0.057741
664,196,0.061538
665,197,0.065093
666,198,0.066204
667,199,0.0595
668,200,0.057778
669,201,0.057426
670,202,0.0575
671,203,0.057796
672,204,0.057482
673,205,0.057871
674,206,0.058167
675,207,0.057611
676,208,0.057315
677,209,0.057685
678,210,0.057759
679,211,0.059297
680,212,0.058074
681,213,0.057648
682,214,0.057593
683,215,0.057963
684,216,0.057389
685,217,0.057685
686,218,0.057574
687,219,0.057519
688,220,0.05763
689,221,0.064889
690,222,0.059425
691,223,0.05913
692,224,0.058092
693,225,0.058074
694,226,0.057944
695,227,0.057629
696,228,0.057834
697,229,0.057444
698,230,0.05763
699,231,0.058
700,232,0.05763
701,233,0.05763
702,234,0.057852
703,235,0.057777
704,236,0.057592
705,237,0.057333
706,238,0.085204
707,239,0.101352
708,240,0.067759
709,241,0.060389
710,242,0.058611
711,243,0.058259
712,244,0.057778
713,245,0.057852
714,246,0.057852
715,247,0.058
716,248,0.057574
717,249,0.05763
718,250,0.058
719,251,0.057926
720,252,0.057592
721,253,0.057574
722,254,0.057408
723,255,0.057518
724,256,0.057445
725,257,0.057556
726,258,0.057371
727,259,0.057833
728,260,0.057297
729,261,0.057593
730,262,0.057
731,263,0.057592
732,264,0.057148
733,265,0.057426
734,266,0.057296
735,267,0.057704
736,268,0.057759
737,269,0.057648
738,270,0.057333
739,271,0.057389
740,272,0.057352
741,273,0.057333
742,274,0.057555
743,275,0.057297
744,276,0.057574
745,277,0.058129
746,278,0.057537
747,279,0.057611
748,280,0.057296
749,281,0.057333
750,282,0.057538
751,283,0.057389
752,284,0.067833
753,285,0.063667
754,286,0.059093
755,287,0.057982
756,288,0.057704
757,289,0.06726
758,290,0.06213
759,291,0.059167
760,292,0.058704
761,293,0.058611
762,294,0.057686
763,295,0.057463
764,296,0.057389
765,297,0.057
766,298,0.057259
767,299,0.057389
768,300,0.056926
769,301,0.057463
770,302,0.057222
771,303,0.057537
772,304,0.057592
773,305,0.057667
774,306,0.057186
775,307,0.057482
776,308,0.057092
777,309,0.057611
778,310,0.057315
779,311,0.057611
780,312,0.05724
781,313,0.057278
782,314,0.057185
783,315,0.056815
784,316,0.056667
785,317,0.057482
786,318,0.057056
787,319,0.057296
788,320,0.056907
789,321,0.06126
790,322,0.080167
791,323,0.070741
792,324,0.062889
793,325,0.058889
794,326,0.057759
795,327,0.057649
796,328,0.0575
797,329,0.057666
798,330,0.057352
799,331,0.057537
800,332,0.057334
801,333,0.058018
802,334,0.057481
803,335,0.057259
804,336,0.05763
805,337,0.057556
806,338,0.057722
807,339,0.057407
808,340,0.057407
809,341,0.057778
810,342,0.057333
811,343,0.057278
812,344,0.057204
813,345,0.057334
814,346,0.057519
815,347,0.057537
816,348,0.057575
817,349,0.076445
818,350,0.060463
819,351,0.058463
820,352,0.057611
821,353,0.05787
822,354,0.057185
823,355,0.057815
824,356,0.057296
825,357,0.057556
826,358,0.057166
827,359,0.057593
828,360,0.056814
829,361,0.057704
830,362,0.057093
831,363,0.057315
832,364,0.057278
833,365,0.057314
834,366,0.057185
835,367,0.057315
836,368,0.057241
837,369,0.057315
838,370,0.057055
839,371,0.057223
840,372,0.056834
841,373,0.057296
842,374,0.057408
843,375,0.05763
844,376,0.057018
845,377,0.056907
846,378,0.057445
847,379,0.057278
848,380,0.05713
849,381,0.057296
850,382,0.056741
