window_index_in_recording,source_start_index,source_end_index_exclusive,start_host_monotonic_ns,last_host_monotonic_ns,start_since_command_s,last_since_command_s,quality_valid,quality_reasons,method,threshold,score,prediction,decision,error,model_core_ns,transfer_in_ns,transfer_out_ns,score_and_other_overhead_ns,standardization_ns,scorer_call_ns,decision_monotonic_ns,dequeue_to_decision_ns,dequeue_monotonic_ns,complete_to_decision_ns,assembly_ns,queue_wait_ns,logging_monotonic_ns,trial,mode,repeat
49,43528,43656,100486456984177,100487068117484,210.290140527,210.901273834,True,[],rms,1.2747695377144315,1.1106926492311247,0,NORMAL,,41870,0,0,1426,98129,59612,100487074051185,162852,100487073888333,5933701,5700627,70222,100487074059277,sensor_live_rms_01,sensor_live,1
50,43656,43784,100487075632665,100487684761751,210.908789015,211.517918101,True,[],rms,1.2747695377144315,1.101901732924299,0,NORMAL,,40648,0,0,1537,98371,58759,100487690591304,162426,100487690428878,5829553,5602701,64426,100487690599082,sensor_live_rms_01,sensor_live,1
51,43784,43912,100487692179489,100488303036889,211.525335839,212.136193239,True,[],rms,1.2747695377144315,1.041968375149048,0,NORMAL,,41166,0,0,1352,97926,58815,100488308852831,161704,100488308691127,5815942,5589183,65055,100488308860590,sensor_live_rms_01,sensor_live,1
52,43912,44040,100488310442015,100488921994860,212.143598365,212.75515121,True,[],rms,1.2747695377144315,1.0592699615437688,0,NORMAL,,41945,0,0,1370,101778,59222,100488927869191,166537,100488927702654,5874331,5639886,67908,100488927876969,sensor_live_rms_01,sensor_live,1
53,44040,44168,100488929453542,100489539490925,212.762609892,213.372647275,True,[],rms,1.2747695377144315,0.9894277724388713,0,NORMAL,,30500,0,0,1037,71111,43370,100489543624256,118444,100489543505812,4133331,3965794,49093,100489543630053,sensor_live_rms_01,sensor_live,1
54,44168,44296,100489545236756,100490158346194,213.378393106,213.991502544,True,[],rms,1.2747695377144315,1.0219223096942525,0,NORMAL,,31852,0,0,1148,71685,45945,100490162409340,121556,100490162287784,4063146,3889516,52074,100490162415506,sensor_live_rms_01,sensor_live,1
55,44296,44424,100490164016654,100490775036538,213.997173004,214.608192888,True,[],rms,1.2747695377144315,1.0422606633856537,0,NORMAL,,31037,0,0,1148,74296,44685,100490778994702,123351,100490778871351,3958164,3778239,56574,100490779000795,sensor_live_rms_01,sensor_live,1
56,44424,44552,100490780591757,100491393775011,214.613748107,215.226931361,True,[],rms,1.2747695377144315,1.0014719652898922,0,NORMAL,,30815,0,0,1167,71278,44463,100491397885601,119741,100491397765860,4110590,3942535,48314,100491397891342,sensor_live_rms_01,sensor_live,1
57,44552,44680,100491399491767,100492012444669,215.232648117,215.845601019,True,[],rms,1.2747695377144315,0.9935977121051016,0,NORMAL,,29667,0,0,1129,71130,43074,100492016511945,118000,100492016393945,4067276,3901869,47407,100492016517667,sensor_live_rms_01,sensor_live,1
58,44680,44808,100492018122852,100492631031403,215.851279202,216.464187753,True,[],rms,1.2747695377144315,0.9706763970097386,0,NORMAL,,29519,0,0,1314,68056,42167,100492634994327,114297,100492634880030,3962924,3800090,48537,100492635000327,sensor_live_rms_01,sensor_live,1
59,44808,44936,100492636611752,100493248743174,216.469768102,217.081899524,True,[],rms,1.2747695377144315,1.017989597896922,0,NORMAL,,31556,0,0,1055,73370,44926,100493252887542,122518,100493252765024,4144368,3972054,49796,100493252893709,sensor_live_rms_01,sensor_live,1
60,44936,45064,100493254491301,100493865786483,217.087647651,217.698942833,True,[],rms,1.2747695377144315,1.0129880783184417,0,NORMAL,,31408,0,0,1148,71760,45166,100493869844240,120926,100493869723314,4057757,3883294,53537,100493869850037,sensor_live_rms_01,sensor_live,1
61,45064,45192,100493871454314,100494485030921,217.704610664,218.318187271,True,[],rms,1.2747695377144315,1.028417345208914,0,NORMAL,,39444,0,0,1408,92796,56352,100494490582715,153945,100494490428770,5551794,5335683,62166,100494490590178,sensor_live_rms_01,sensor_live,1
62,45192,45320,100494492178177,100495103045175,218.325334527,218.936201525,True,[],rms,1.2747695377144315,1.05584487817989,0,NORMAL,,40500,0,0,1352,95814,58167,100495108665043,159037,100495108506006,5619868,5401571,59260,100495108673543,sensor_live_rms_01,sensor_live,1
63,45320,45448,100495110245634,100495720560818,218.943401984,219.553717168,True,[],rms,1.2747695377144315,1.0294073185190018,0,NORMAL,,39500,0,0,1500,93537,56871,100495726119205,155463,100495725963742,5558387,5337405,65519,100495726127260,sensor_live_rms_01,sensor_live,1
64,45448,45576,100495727704019,100496337568296,219.560860369,220.170724646,True,[],rms,1.2747695377144315,1.1085350496439181,0,NORMAL,,45889,0,0,1500,107223,65241,100496343585997,177908,100496343408089,6017701,5763979,75814,100496343595163,sensor_live_rms_01,sensor_live,1
65,45576,45704,100496345158144,100496956524884,220.178314494,220.789681234,True,[],rms,1.2747695377144315,1.0655599798092912,0,NORMAL,,43778,0,0,1426,104037,63056,100496962423974,172870,100496962251104,5899090,5655127,71093,100496962432604,sensor_live_rms_01,sensor_live,1
66,45704,45832,100496963995084,100497574211566,220.797151434,221.407367916,True,[],rms,1.2747695377144315,1.0354361136754529,0,NORMAL,,31074,0,0,1037,72630,44666,100497578180008,121018,100497578058990,3968442,3786517,60907,100497578186471,sensor_live_rms_01,sensor_live,1
67,45832,45960,100497579781656,100498191522563,221.412938006,222.024678913,True,[],rms,1.2747695377144315,0.9992914725208694,0,NORMAL,,29888,0,0,1112,71092,43518,100498195376302,118685,100498195257617,3853739,3682350,52704,100498195382691,sensor_live_rms_01,sensor_live,1
