monotonic_ns,queue_pending_windows,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,elapsed_s,trial,mode,method,repeat
100289768864144,0,0.0,77234176,77398016,13.602020494,sensor_live_rms_01,sensor_live,rms,1
100289869088399,0,9.977582267445596,77234176,77398016,13.702244749,sensor_live_rms_01,sensor_live,rms,1
100289969327357,0,0.0,77234176,77398016,13.802483707,sensor_live_rms_01,sensor_live,rms,1
100290069523204,0,9.980394512453362,77234176,77398016,13.902679554,sensor_live_rms_01,sensor_live,rms,1
100290169747385,0,0.0,77234176,77398016,14.002903735,sensor_live_rms_01,sensor_live,rms,1
100290269990418,0,0.0,77234176,77398016,14.103146768,sensor_live_rms_01,sensor_live,rms,1
100290370222783,0,0.0,77234176,77398016,14.203379133,sensor_live_rms_01,sensor_live,rms,1
100290470440538,0,19.956392486603697,77234176,77398016,14.303596888,sensor_live_rms_01,sensor_live,rms,1
100290570668812,0,0.0,77234176,77398016,14.403825162,sensor_live_rms_01,sensor_live,rms,1
100290670850826,0,0.0,77234176,77398016,14.504007176,sensor_live_rms_01,sensor_live,rms,1
100290771013932,0,0.0,77234176,77398016,14.604170282,sensor_live_rms_01,sensor_live,rms,1
100290871176928,0,0.0,77234176,77398016,14.704333278,sensor_live_rms_01,sensor_live,rms,1
100290971326202,0,9.985072716409858,77234176,77398016,14.804482552,sensor_live_rms_01,sensor_live,rms,1
100291071480401,0,9.984625971696492,77234176,77398016,14.904636751,sensor_live_rms_01,sensor_live,rms,1
100291171638230,0,0.0,77234176,77398016,15.00479458,sensor_live_rms_01,sensor_live,rms,1
100291271862281,0,9.977729707014417,77234176,77398016,15.105018631,sensor_live_rms_01,sensor_live,rms,1
100291372043758,0,0.0,77234176,77398016,15.205200108,sensor_live_rms_01,sensor_live,rms,1
100291472238791,0,0.0,77234176,77398016,15.305395141,sensor_live_rms_01,sensor_live,rms,1
100291572415268,0,9.98240182358558,77234176,77398016,15.405571618,sensor_live_rms_01,sensor_live,rms,1
100291672584060,0,0.0,77234176,77398016,15.50574041,sensor_live_rms_01,sensor_live,rms,1
100291772784686,0,0.0,77234176,77398016,15.605941036,sensor_live_rms_01,sensor_live,rms,1
100291873010922,0,9.977479034526068,77234176,77398016,15.706167272,sensor_live_rms_01,sensor_live,rms,1
100291973181029,0,9.983069911718747,77234176,77398016,15.806337379,sensor_live_rms_01,sensor_live,rms,1
100292073346284,0,0.0,77234176,77398016,15.906502634,sensor_live_rms_01,sensor_live,rms,1
100292173505021,0,0.0,77234176,77398016,16.006661371,sensor_live_rms_01,sensor_live,rms,1
100292273681702,0,0.0,77234176,77398016,16.106838052,sensor_live_rms_01,sensor_live,rms,1
100292373847865,0,9.983337410738852,77234176,77398016,16.207004215,sensor_live_rms_01,sensor_live,rms,1
100292474044083,0,9.980462744817608,77234176,77398016,16.307200433,sensor_live_rms_01,sensor_live,rms,1
100292574215727,0,0.0,77234176,77398016,16.407372077,sensor_live_rms_01,sensor_live,rms,1
100292674372612,0,0.0,77234176,77398016,16.507528962,sensor_live_rms_01,sensor_live,rms,1
100292774536552,0,9.983673399073856,77234176,77398016,16.607692902,sensor_live_rms_01,sensor_live,rms,1
100292874698511,0,0.0,77234176,77398016,16.707854861,sensor_live_rms_01,sensor_live,rms,1
100292974897359,0,9.980226575782963,77234176,77398016,16.808053709,sensor_live_rms_01,sensor_live,rms,1
100293075076355,0,0.0,77234176,77398016,16.908232705,sensor_live_rms_01,sensor_live,rms,1
100293175241684,0,0.0,77234176,77398016,17.008398034,sensor_live_rms_01,sensor_live,rms,1
100293275406699,0,0.0,77234176,77398016,17.108563049,sensor_live_rms_01,sensor_live,rms,1
100293375617195,0,19.957963340445318,77234176,77398016,17.208773545,sensor_live_rms_01,sensor_live,rms,1
100293475814580,0,0.0,77234176,77398016,17.30897093,sensor_live_rms_01,sensor_live,rms,1
100293575982520,0,0.0,77234176,77398016,17.40913887,sensor_live_rms_01,sensor_live,rms,1
100293676151109,0,9.983180636587335,77234176,77398016,17.509307459,sensor_live_rms_01,sensor_live,rms,1
100293776315605,0,0.0,77234176,77398016,17.609471955,sensor_live_rms_01,sensor_live,rms,1
100293876474416,0,0.0,77234176,77398016,17.709630766,sensor_live_rms_01,sensor_live,rms,1
100293976674209,0,0.0,77234176,77398016,17.809830559,sensor_live_rms_01,sensor_live,rms,1
100294077007112,0,9.966961713649564,77234176,77398016,17.910163462,sensor_live_rms_01,sensor_live,rms,1
100294177215183,0,0.0,77234176,77398016,18.010371533,sensor_live_rms_01,sensor_live,rms,1
100294277392679,0,9.982132382404592,77234176,77398016,18.110549029,sensor_live_rms_01,sensor_live,rms,1
100294377639638,0,9.975403647196558,77234176,77398016,18.210795988,sensor_live_rms_01,sensor_live,rms,1
100294477851801,0,0.0,77234176,77398016,18.311008151,sensor_live_rms_01,sensor_live,rms,1
100294578020556,0,0.0,77234176,77398016,18.411176906,sensor_live_rms_01,sensor_live,rms,1
100294678179090,0,9.984168004583484,77234176,77398016,18.51133544,sensor_live_rms_01,sensor_live,rms,1
100294778342716,0,0.0,77234176,77398016,18.611499066,sensor_live_rms_01,sensor_live,rms,1
100294878552323,0,9.978883982845296,77234176,77398016,18.711708673,sensor_live_rms_01,sensor_live,rms,1
100294978873338,0,0.0,77234176,77398016,18.812029688,sensor_live_rms_01,sensor_live,rms,1
