recording_id,phase,block_index,start_since_command_s,end_since_command_s_exclusive,midpoint_since_command_s,xyz_points,first_since_command_s,last_since_command_s,quality_valid,quality_reasons,axis_mean_g,axis_std_population_g,vector_ac_rms_g,vector_ac_rms_mg
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,22,110,115,112.5,1036,110.000664546,114.99625443,True,[],"[-0.6283329150579151, -0.7120549227799227, 0.08959459459459458]","[0.009689001227386158, 0.007406737052070625, 0.010623559167794517]",0.016173945342260722,16.173945342260723
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,23,115,120,117.5,1036,115.001850053,119.997449226,True,[],"[-0.6285023166023167, -0.7123673745173744, 0.08989951737451739]","[0.009781787822874298, 0.007480082772308483, 0.010899847230637798]",0.016445111156315133,16.445111156315132
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,24,120,125,122.5,1036,120.002984663,124.999101844,True,[],"[-0.6278774131274131, -0.7114902509652509, 0.0892557915057915]","[0.009852580922633804, 0.007487307892273165, 0.01090541624717267]",0.016494278821301687,16.494278821301688
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,25,125,130,127.5,1035,125.004687967,129.996161938,True,[],"[-0.6282353623188406, -0.7122115942028986, 0.08949652173913042]","[0.009561733603610071, 0.007233271279341464, 0.010631413096265254]",0.01602416635367945,16.02416635367945
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,26,130,135,132.5,1036,130.001840765,134.997573423,True,[],"[-0.6280656370656371, -0.7121302123552123, 0.08944777992277993]","[0.010048933205618454, 0.007024718103502074, 0.010750920984783769]",0.016306747837190435,16.306747837190436
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,27,135,140,137.5,1036,135.003158732,139.999541987,True,[],"[-0.6279941119691119, -0.7121302123552122, 0.08996727799227798]","[0.009451342271682763, 0.007355505407547814, 0.010383769295946732]",0.01585099351234517,15.85099351234517
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,28,140,145,142.5,1035,140.005163629,144.997063449,True,[],"[-0.6287063768115941, -0.712023188405797, 0.08949275362318841]","[0.009582003961384271, 0.007254998175721388, 0.01019887062290608]",0.015762828439987577,15.762828439987578
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,29,145,150,147.5,1036,145.0008555,149.997001078,True,[],"[-0.628449613899614, -0.7126911196911196, 0.08993716216216217]","[0.009927886208118577, 0.0072908692500940845, 0.011074148967047523]",0.01656370955817803,16.56370955817803
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,30,150,155,152.5,1036,150.002587091,154.999747151,True,[],"[-0.6280543436293435, -0.7121226833976834, 0.08903368725868727]","[0.009607701345708451, 0.007511910551602984, 0.010499505150808075]",0.016092741646327933,16.092741646327934
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,31,155,160,157.5,1035,155.003434184,159.996161898,True,[],"[-0.6284124637681159, -0.7122831884057971, 0.08993739130434783]","[0.009899116693985925, 0.007072146322170124, 0.011080821354500715]",0.016455770015824066,16.455770015824065
