name,phase,pwm_percent,start_s,end_s,xyz_points,host_rate_xyz_per_s,mean_x_g,mean_y_g,mean_z_g,std_x_g,std_y_g,std_z_g,ac_rms_x_g,ac_rms_y_g,ac_rms_z_g,min_x_g,min_y_g,min_z_g,max_x_g,max_y_g,max_z_g,vector_ac_rms_g,magnitude_ac_rms_g,mean_vector_norm_g
PWM75_1,operating75,75.0,20,25,1035,206.9341370666958,-0.15405942028985475,0.01662492753623182,-1.091227536231886,0.02369108019536798,0.013209988055067963,0.01162148290642545,0.02369108019536798,0.013209988055067963,0.01162148290642545,-0.2145,-0.0156,-1.1349,-0.09359999999999999,0.0624,-1.0491,0.029509827688123387,0.010540882152706633,1.1021743188018596
PWM75_1,operating75,75.0,25,30,1033,206.93251782372346,-0.15392729912875092,0.016219167473378447,-1.0923888673765747,0.02328811483378769,0.013273586305206623,0.011737523992815753,0.02328811483378769,0.013273586305206623,0.011737523992815753,-0.2145,-0.0195,-1.1388,-0.09359999999999999,0.054599999999999996,-1.0569,0.029262499131061562,0.010724603435383675,1.1032996475930177
PWM75_2,operating75,75.0,0,5,1035,206.87891226467627,-0.15414231884057944,0.01622550724637676,-1.091246376811596,0.023308812922162466,0.013074045040774815,0.0117052444546054,0.023308812922162466,0.013074045040774815,0.0117052444546054,-0.21059999999999998,-0.0195,-1.1388,-0.09749999999999999,0.058499999999999996,-1.0452,0.029176088862468325,0.010780043163406243,1.1021986102546986
PWM75_2,operating75,75.0,5,10,1035,206.95382637848277,-0.15443999999999986,0.016150144927536185,-1.09149507246377,0.02334920089871803,0.013314638614257234,0.011176878517750155,0.02334920089871803,0.013314638614257234,0.011176878517750155,-0.2145,-0.023399999999999997,-1.1271,-0.10139999999999999,0.058499999999999996,-1.0569,0.029109919227601994,0.010301820998600142,1.1024853894695705
PWM75_2,operating75,75.0,10,15,1034,206.95099182083226,-0.15432156673114097,0.016426015473887747,-1.0913965183752412,0.023268715955681918,0.013566830432788004,0.011231235262361871,0.023268715955681918,0.013566830432788004,0.011231235262361871,-0.21839999999999998,-0.023399999999999997,-1.131,-0.09359999999999999,0.0624,-1.0569,0.02918274619936836,0.01054049540972942,1.1023753082613474
PWM75_2,operating75,75.0,15,20,1035,206.92384603247368,-0.15402550724637668,0.01603333333333327,-1.0923994202898561,0.023547343339873638,0.013212048373443917,0.011127128343430813,0.023547343339873638,0.013212048373443917,0.011127128343430813,-0.21059999999999998,-0.023399999999999997,-1.1232,-0.10139999999999999,0.0624,-1.0569,0.029203571455547923,0.010116694330709195,1.1033210856817226
PWM75_2,operating75,75.0,20,25,1035,206.94100318439877,-0.15440231884057956,0.01623681159420284,-1.0921243478260887,0.024149867713198908,0.01353141085360806,0.011473573351150583,0.024149867713198908,0.01353141085360806,0.011473573351150583,-0.2145,-0.0312,-1.1349,-0.0897,0.0624,-1.0569,0.029965948603346133,0.010573878404030757,1.103104392715691
PWM75_2,operating75,75.0,25,30,1033,206.95630533691238,-0.15451248789932234,0.01605682478218775,-1.0912486931268162,0.023667072246443807,0.013535489702848562,0.011262469296393122,0.023667072246443807,0.013535489702848562,0.011262469296393122,-0.2067,-0.0195,-1.131,-0.09359999999999999,0.0624,-1.0491,0.02949886446740806,0.010373974982724375,1.1022502623224493
POST_1,standstill_after,0.0,0,5,1034,206.7452828046608,-0.15398210831721465,0.014566537717601401,-1.0921320116054178,0.006969556554932818,0.00573174523914737,0.009589752671555452,0.006969556554932818,0.00573174523914737,0.009589752671555452,-0.1716,-0.0039,-1.1271,-0.1248,0.0351,-1.0218,0.013167800817163833,0.009382108797419754,1.1030299200276432
POST_1,standstill_after,0.0,5,10,1034,206.68162948827495,-0.15388404255319177,0.01474381044487413,-1.0919698259187656,0.006489134401638001,0.005838252218098747,0.008869467031577554,0.006489134401638001,0.005838252218098747,0.008869467031577554,-0.1833,-0.011699999999999999,-1.1193,-0.1326,0.039,-1.0647,0.0124443360477326,0.008672346622041326,1.1028580050106207
