window,window_start_ns,window_complete_ns,elapsed_s,method,input_sha256,dispatch_ns,worker_start_ns,decision_ns,processing_ms,dispatch_to_decision_ms,score,threshold,prediction,error,window_to_decision_ms
16,10146080879261,10146691952878,9.916771087,isolation_forest,7897618adc4fd3e7ac97fc193d482eb2901333d9271c4c3c25d7b5e86c289bef,10146692742100,10146693450711,10146721946944,28.496233,29.204844,0.38134820917880224,0.4833547401595273,0,,29.994066
16,10146080879261,10146691952878,9.888085706,rms,7897618adc4fd3e7ac97fc193d482eb2901333d9271c4c3c25d7b5e86c289bef,10146692742100,10146692972118,10146693261563,0.289445,0.519463,0.5206706438261963,1.296361072562011,0,,1.308685
17,10146699538524,10147309179956,10.508295024,tflite_autoencoder,fbe8f900b0b80a09fdcda59038a1a12f6884d1869e5964f4199d6aaae06e300c,10147310047400,10147310679437,10147313470881,2.791444,3.423481,0.2795746503707673,0.47720259914362284,0,,4.290925
17,10146699538524,10147309179956,10.530042351,isolation_forest,fbe8f900b0b80a09fdcda59038a1a12f6884d1869e5964f4199d6aaae06e300c,10147310047400,10147310842011,10147335218208,24.376197,25.170808,0.38143483138402895,0.4833547401595273,0,,26.038252
17,10146699538524,10147309179956,10.505438543,rms,fbe8f900b0b80a09fdcda59038a1a12f6884d1869e5964f4199d6aaae06e300c,10147310047400,10147310306493,10147310614400,0.307907,0.567,0.5268968667184476,1.296361072562011,0,,1.434444
18,10147315200936,10147926715256,11.12474775,tflite_autoencoder,3b4fbde9a2d2238cc1afaf9411e3df59a93382f345cdfd4c330f0efd1cb360ce,10147928227182,10147929412181,10147929923607,0.511426,1.696425,0.23876850645541206,0.47720259914362284,0,,3.208351
18,10147315200936,10147926715256,11.159872259,isolation_forest,3b4fbde9a2d2238cc1afaf9411e3df59a93382f345cdfd4c330f0efd1cb360ce,10147928227182,10147930147607,10147965048116,34.900509,36.820934,0.38212234577631654,0.4833547401595273,0,,38.33286
18,10147315200936,10147926715256,11.123539436,rms,3b4fbde9a2d2238cc1afaf9411e3df59a93382f345cdfd4c330f0efd1cb360ce,10147928227182,10147928479441,10147928715293,0.235852,0.488111,0.5260526509981018,1.296361072562011,0,,2.000037
19,10147934092347,10148544381927,11.744308068,tflite_autoencoder,3b2b3d7d78b18fe4bb8cb19dfc06030c2b591be74208f0190c30df08812c50c3,10148545120797,10148545703204,10148549483925,3.780721,4.363128,0.25820309900541655,0.47720259914362284,0,,5.101998
19,10147934092347,10148544381927,11.765884729,isolation_forest,3b2b3d7d78b18fe4bb8cb19dfc06030c2b591be74208f0190c30df08812c50c3,10148545120797,10148545838149,10148571060586,25.222437,25.939789,0.38271842760622427,0.4833547401595273,0,,26.678659
19,10147934092347,10148544381927,11.74047731,rms,3b2b3d7d78b18fe4bb8cb19dfc06030c2b591be74208f0190c30df08812c50c3,10148545120797,10148545351945,10148545653167,0.301222,0.53237,0.5233414463519367,1.296361072562011,0,,1.27124
20,10148551151907,10149161173302,12.360229369,tflite_autoencoder,eeb379cea249a5fd27426d6672e81503ae54f09e830448d067839cc133d715de,10149162151487,10149162384690,10149165405226,3.020536,3.253739,0.27328178119220414,0.47720259914362284,0,,4.231924
20,10148551151907,10149161173302,12.386177344,isolation_forest,eeb379cea249a5fd27426d6672e81503ae54f09e830448d067839cc133d715de,10149162151487,10149162858949,10149191353201,28.494252,29.201714,0.38582040717403354,0.4833547401595273,0,,30.179899
20,10148551151907,10149161173302,12.357633703,rms,eeb379cea249a5fd27426d6672e81503ae54f09e830448d067839cc133d715de,10149162151487,10149162639598,10149162809560,0.169962,0.658073,0.5394760202512662,1.296361072562011,0,,1.636258
21,10149169678948,10149777697732,12.976065374,tflite_autoencoder,e65c01d7048d4b144b412c885ccab15288ef1851b81d0e620849c15a033e831b,10149778612639,10149779256565,10149781241231,1.984666,2.628592,0.23800111183189335,0.47720259914362284,0,,3.543499
21,10149169678948,10149777697732,12.998422702,isolation_forest,e65c01d7048d4b144b412c885ccab15288ef1851b81d0e620849c15a033e831b,10149778612639,10149779375843,10149803598559,24.222716,24.98592,0.3848604998874222,0.4833547401595273,0,,25.900827
21,10149169678948,10149777697732,12.973997208,rms,e65c01d7048d4b144b412c885ccab15288ef1851b81d0e620849c15a033e831b,10149778612639,10149778873584,10149779173065,0.299481,0.560426,0.515775940872153,1.296361072562011,0,,1.475333
22,10149784802341,10150395104552,13.593684675,tflite_autoencoder,ef6fb506bdc2dc1bf2884bf251425fb55ddd4feafb90b90d55410588044f538a,10150395996274,10150396559329,10150398860532,2.301203,2.864258,0.24872997669647057,0.47720259914362284,0,,3.75598
22,10149784802341,10150395104552,13.618024058,isolation_forest,ef6fb506bdc2dc1bf2884bf251425fb55ddd4feafb90b90d55410588044f538a,10150395996274,10150396683422,10150423199915,26.516493,27.203641,0.3849319039985188,0.4833547401595273,0,,28.095363
22,10149784802341,10150395104552,13.591340991,rms,ef6fb506bdc2dc1bf2884bf251425fb55ddd4feafb90b90d55410588044f538a,10150395996274,10150396228922,10150396516848,0.287926,0.520574,0.516731973763298,1.296361072562011,0,,1.412296
23,10150400875958,10151012819427,14.211684698,tflite_autoencoder,1ea30a360f6678db20031c3614fc463dc9410780db00d85ef8949f0e1ffef35c,10151013518815,10151014073445,10151016860555,2.78711,3.34174,0.2189564924603815,0.47720259914362284,0,,4.041128
23,10150400875958,10151012819427,14.236808766,isolation_forest,1ea30a360f6678db20031c3614fc463dc9410780db00d85ef8949f0e1ffef35c,10151013518815,10151014215260,10151041984623,27.769363,28.465808,0.3831582149807988,0.4833547401595273,0,,29.165196
23,10150400875958,10151012819427,14.208852551,rms,1ea30a360f6678db20031c3614fc463dc9410780db00d85ef8949f0e1ffef35c,10151013518815,10151013732667,10151014028408,0.295741,0.509593,0.5071144904716653,1.296361072562011,0,,1.208981
24,10151019635184,10151631457450,14.829418314,tflite_autoencoder,ad8fea35e91acd20b527e0ab13f35965b5cc5978687028d76b382d34c5ddc550,10151632315227,10151632871060,10151634594171,1.723111,2.278944,0.22627063697264274,0.47720259914362284,0,,3.136721
24,10151019635184,10151631457450,14.853652382,isolation_forest,ad8fea35e91acd20b527e0ab13f35965b5cc5978687028d76b382d34c5ddc550,10151632315227,10151633014523,10151658828239,25.813716,26.513012,0.3838533768176926,0.4833547401595273,0,,27.370789
24,10151019635184,10151631457450,14.82764587,rms,ad8fea35e91acd20b527e0ab13f35965b5cc5978687028d76b382d34c5ddc550,10151632315227,10151632540875,10151632821727,0.280852,0.5065,0.5152521410714623,1.296361072562011,0,,1.364277
25,10151638993855,10152249571825,15.448281467,tflite_autoencoder,97116c465fa95278f75423539b7262aa5f56c39b7954d41a2937b494f14141aa,10152250609880,10152251184417,10152253457324,2.272907,2.847444,0.24526500899817036,0.47720259914362284,0,,3.885499
25,10151638993855,10152249571825,15.470984887,isolation_forest,97116c465fa95278f75423539b7262aa5f56c39b7954d41a2937b494f14141aa,10152250609880,10152251323250,10152276160744,24.837494,25.550864,0.387973271450881,0.4833547401595273,0,,26.588919
25,10151638993855,10152249571825,15.445961653,rms,97116c465fa95278f75423539b7262aa5f56c39b7954d41a2937b494f14141aa,10152250609880,10152250845602,10152251137510,0.291908,0.52763,0.5058819936506477,1.296361072562011,0,,1.565685
26,10152255034490,10152865165979,16.061539343,tflite_autoencoder,04afe75eb835205649285de846922eb9e301a5c743167ee04af35424ed1edadd,10152865933886,10152866486256,10152866715200,0.228944,0.781314,0.2407232533287719,0.47720259914362284,0,,1.549221
26,10152255034490,10152865165979,16.085454819,isolation_forest,04afe75eb835205649285de846922eb9e301a5c743167ee04af35424ed1edadd,10152865933886,10152866789200,10152890630676,23.841476,24.69679,0.3937432873159167,0.4833547401595273,0,,25.464697
26,10152255034490,10152865165979,16.061261362,rms,04afe75eb835205649285de846922eb9e301a5c743167ee04af35424ed1edadd,10152865933886,10152866152052,10152866437219,0.285167,0.503333,0.5137497493420515,1.296361072562011,0,,1.27124
27,10152875438865,10153483613076,16.684922347,tflite_autoencoder,aa036abeca8256c3e2febb05ff13d148bb1afacbc9f6702e2cce0959624a7186,10153484505206,10153485072446,10153490098204,5.025758,5.592998,0.2602397593971138,0.47720259914362284,0,,6.485128
27,10152875438865,10153483613076,16.7095036,isolation_forest,aa036abeca8256c3e2febb05ff13d148bb1afacbc9f6702e2cce0959624a7186,10153484505206,10153485240650,10153514679457,29.438807,30.174251,0.3821465027051451,0.4833547401595273,0,,31.066381
27,10152875438865,10153483613076,16.679846534,rms,aa036abeca8256c3e2febb05ff13d148bb1afacbc9f6702e2cce0959624a7186,10153484505206,10153484723557,10153485022391,0.298834,0.517185,0.524355588856599,1.296361072562011,0,,1.409315
28,10153491754204,10154101736878,17.300040168,tflite_autoencoder,40e6c5438acc8e5094de5a1184f247c6231d417b9adbf023f970344e6922851d,10154102611563,10154103153303,10154105216025,2.062722,2.604462,0.25649813277887873,0.47720259914362284,0,,3.479147
28,10153491754204,10154101736878,17.321079292,isolation_forest,40e6c5438acc8e5094de5a1184f247c6231d417b9adbf023f970344e6922851d,10154102611563,10154103291766,10154126255149,22.963383,23.643586,0.39318888805831737,0.4833547401595273,0,,24.518271
28,10153491754204,10154101736878,17.297931058,rms,40e6c5438acc8e5094de5a1184f247c6231d417b9adbf023f970344e6922851d,10154102611563,10154102828470,10154103106915,0.278445,0.495352,0.5264255280201847,1.296361072562011,0,,1.370037
29,10154109173098,10154717731754,17.91838234,tflite_autoencoder,a5638aa629743ddcce0dd20f7b167f234bc4bdf37200b896a2a31a70ff1bd16f,10154718804587,10154719616809,10154723558197,3.941388,4.75361,0.29573188035849785,0.47720259914362284,0,,5.826443
29,10154109173098,10154717731754,17.942065315,isolation_forest,a5638aa629743ddcce0dd20f7b167f234bc4bdf37200b896a2a31a70ff1bd16f,10154718804587,10154719791420,10154747241172,27.449752,28.436585,0.3903027804162641,0.4833547401595273,0,,29.509418
29,10154109173098,10154717731754,17.914313508,rms,a5638aa629743ddcce0dd20f7b167f234bc4bdf37200b896a2a31a70ff1bd16f,10154718804587,10154719171069,10154719489365,0.318296,0.684778,0.530697334374042,1.296361072562011,0,,1.757611
30,10154728801251,10155336729574,18.535305883,tflite_autoencoder,ddb63ce3ee43c96a6c2d6530155225dac2d9bde1543d5f266b2af84d9253eee7,10155337455685,10155338024611,10155340481740,2.457129,3.026055,0.23739211470843444,0.47720259914362284,0,,3.752166
30,10154728801251,10155336729574,18.557217266,isolation_forest,ddb63ce3ee43c96a6c2d6530155225dac2d9bde1543d5f266b2af84d9253eee7,10155337455685,10155338169944,10155362393123,24.223179,24.937438,0.37774220040654594,0.4833547401595273,0,,25.663549
30,10154728801251,10155336729574,18.532799717,rms,ddb63ce3ee43c96a6c2d6530155225dac2d9bde1543d5f266b2af84d9253eee7,10155337455685,10155337687056,10155337975574,0.288518,0.519889,0.531130344981522,1.296361072562011,0,,1.246
31,10155341964295,10155953982747,19.155793203,tflite_autoencoder,f51de06e0be95d97e11bf03b94b61f19218370e7dcb819eadab4597ff03a7402,10155955470506,10155956045783,10155960969060,4.923277,5.498554,0.2513752314189854,0.47720259914362284,0,,6.986313
31,10155341964295,10155953982747,19.179508715,isolation_forest,f51de06e0be95d97e11bf03b94b61f19218370e7dcb819eadab4597ff03a7402,10155955470506,10155956189246,10155984684572,28.495326,29.214066,0.3844556511637752,0.4833547401595273,0,,30.701825
31,10155341964295,10155953982747,19.150805501,rms,f51de06e0be95d97e11bf03b94b61f19218370e7dcb819eadab4597ff03a7402,10155955470506,10155955697913,10155955981358,0.283445,0.510852,0.5204274722959009,1.296361072562011,0,,1.998611
32,10155962659411,10156569900957,19.768010136,tflite_autoencoder,02311359338473a8b5c891b7b586548ac75e46c2bdfd97cd2d22d3db5ca0b802,10156570887438,10156571447105,10156573185993,1.738888,2.298555,0.2458162953714691,0.47720259914362284,0,,3.285036
32,10155962659411,10156569900957,19.788973649,isolation_forest,02311359338473a8b5c891b7b586548ac75e46c2bdfd97cd2d22d3db5ca0b802,10156570887438,10156571589438,10156594149506,22.560068,23.262068,0.3863384953281927,0.4833547401595273,0,,24.248549
