block,start_since_first_xyz_s,end_since_first_xyz_s,start_since_command_completion_s,end_since_command_completion_s,center_since_command_completion_s,xyz_points,host_rate_xyz_per_s,mean_x_g,mean_y_g,mean_z_g,std_x_g,std_y_g,std_z_g,ac_rms_x_g,ac_rms_y_g,ac_rms_z_g,min_x_g,min_y_g,min_z_g,max_x_g,max_y_g,max_z_g,vector_ac_rms_g,magnitude_ac_rms_g,mean_vector_norm_g,gap_flagged_points,overrun_flagged_points,saturated_flagged_points,quality_flags_clear
24,115,120,115.029521897,120.029521897,117.529521897,1035,206.929054615776,-0.15337362318840572,0.014846376811594139,-1.0921356521739143,0.022783845661002687,0.0114359866745433,0.011855809005857143,0.022783845661002687,0.0114359866745433,0.011855809005857143,-0.21059999999999998,-0.0156,-1.131,-0.09749999999999999,0.058499999999999996,-1.0569,0.02811486477840656,0.010688263954731004,1.1029524767385546,0,0,0,True
25,120,125,120.029521897,125.029521897,122.529521897,1034,206.9441404071751,-0.15408394584139234,0.015245454545454517,-1.0915624758220517,0.023092600854333636,0.012211493921203357,0.012936534714805352,0.023092600854333636,0.012211493921203357,0.012936534714805352,-0.22619999999999998,-0.027299999999999998,-1.1661,-0.09749999999999999,0.0819,-1.0452,0.029150346969333312,0.011904886608056633,1.1024894216604157,0,0,0,True
26,125,130,125.029521897,130.029521897,127.529521897,1035,206.92632686714177,-0.15339246376811552,0.01625565217391299,-1.091992463768117,0.023288994751567624,0.011232028670410742,0.011520897258459983,0.023288994751567624,0.011232028670410742,0.011520897258459983,-0.20279999999999998,-0.023399999999999997,-1.1271,-0.09359999999999999,0.050699999999999995,-1.053,0.028306656783015954,0.010410352893639594,1.1028331855248166,0,0,0,True
27,130,135,130.029521897,135.029521897,132.529521897,1034,206.95897742433954,-0.15359361702127633,0.015886653771760125,-1.0916454545454548,0.02335228271912091,0.011068416382687808,0.012444172571245657,0.02335228271912091,0.011068416382687808,0.012444172571245657,-0.21059999999999998,-0.0195,-1.131,-0.09359999999999999,0.054599999999999996,-1.053,0.028682684330397792,0.01106967828358202,1.1025122146205433,0,0,0,True
28,135,140,135.029521897,140.029521897,137.529521897,1035,206.91111333697307,-0.15367130434782603,0.01605971014492748,-1.0920678260869572,0.02328636385906864,0.011657606830624952,0.011952678781625098,0.02328636385906864,0.011657606830624952,0.011952678781625098,-0.2067,-0.0156,-1.1271,-0.0819,0.058499999999999996,-1.053,0.02865346521541646,0.011025730136847628,1.1029437523483208,0,0,0,True
29,140,145,140.029521897,145.029521897,142.529521897,1035,206.86762217091447,-0.15324173913043465,0.01595043478260863,-1.092244927536233,0.02358213761232708,0.011567137663398367,0.012258133487156635,0.02358213761232708,0.011567137663398367,0.012258133487156635,-0.2067,-0.0195,-1.131,-0.0897,0.054599999999999996,-1.0491,0.02898581937223249,0.011113066328726152,1.103057763088636,0,0,0,True
30,145,150,145.029521897,150.029521897,147.529521897,1034,206.97911325139108,-0.15374071566731126,0.016052611218568606,-1.091871760154742,0.023306776641115464,0.01124225234827913,0.011972714603113995,0.023306776641115464,0.01124225234827913,0.011972714603113995,-0.2067,-0.023399999999999997,-1.131,-0.09359999999999999,0.050699999999999995,-1.0569,0.02851210217133862,0.010739544406446536,1.1027591915754982,0,0,0,True
31,150,155,150.029521897,155.029521897,152.529521897,1035,206.94359600905727,-0.1531965217391303,0.01599188405797097,-1.0917663768115955,0.023182061769862098,0.011305581188755517,0.01254921557350042,0.023182061769862098,0.011305581188755517,0.01254921557350042,-0.21059999999999998,-0.0156,-1.131,-0.09359999999999999,0.0624,-1.0491,0.028682868849322418,0.011385957511582515,1.1025782222432157,0,0,0,True
32,155,160,155.029521897,160.029521897,157.529521897,1034,206.9547247857229,-0.15298259187620877,0.015947001934235913,-1.0926374274661534,0.023497562050045086,0.01143409573032383,0.012200601721100627,0.023497562050045086,0.01143409573032383,0.012200601721100627,-0.2067,-0.011699999999999999,-1.1349,-0.09359999999999999,0.054599999999999996,-1.0491,0.028839706132740853,0.010993606482669494,1.1034104078663147,0,0,0,True
33,160,165,160.029521897,165.029521897,162.529521897,1035,206.9256864550271,-0.15316260869565212,0.015931594202898483,-1.0925011594202925,0.023212464645828493,0.011833333613781,0.012522031545163225,0.023212464645828493,0.011833333613781,0.012522031545163225,-0.21059999999999998,-0.0195,-1.1388,-0.09749999999999999,0.058499999999999996,-1.0452,0.028907569482177826,0.01170957754708746,1.1033002237518972,0,0,0,True
34,165,170,165.029521897,170.029521897,167.529521897,1035,206.97218492099603,-0.15336231884057927,0.01549072463768111,-1.0915704347826096,0.02376967439217322,0.01195913213840726,0.013698733511203194,0.02376967439217322,0.01195913213840726,0.013698733511203194,-0.2145,-0.023399999999999997,-1.1582999999999999,-0.09749999999999999,0.058499999999999996,-1.0334999999999999,0.02992780583378581,0.012727899313913176,1.102400098639988,0,0,0,True
35,170,175,170.029521897,175.029521897,172.529521897,1034,206.97695433575595,-0.15324284332688562,0.01581121856866532,-1.09244506769826,0.02362404178238758,0.011598328677395752,0.011801730843998158,0.02362404178238758,0.011598328677395752,0.011801730843998158,-0.2067,-0.023399999999999997,-1.1465999999999998,-0.09749999999999999,0.058499999999999996,-1.0569,0.028842632146859868,0.010734423780135557,1.1032540911330402,0,0,0,True
36,175,180,175.029521897,180.029521897,177.529521897,1035,206.973955856021,-0.1534828985507244,0.01626318840579706,-1.0921092753623212,0.023808066414159154,0.011500518260880733,0.011740867597356987,0.023808066414159154,0.011500518260880733,0.011740867597356987,-0.2067,-0.0156,-1.1271,-0.09749999999999999,0.050699999999999995,-1.0608,0.02892981020657638,0.010611623602380424,1.1029615409328961,0,0,0,True
37,180,185,180.029521897,185.029521897,182.529521897,1035,206.9417199808712,-0.15326434782608644,0.014665507246376766,-1.0913933333333363,0.023499876748259062,0.012663625821446249,0.015229121099676028,0.023499876748259062,0.012663625821446249,0.015229121099676028,-0.21059999999999998,-0.0312,-1.1465999999999998,-0.09359999999999999,0.054599999999999996,-1.0334999999999999,0.030733332972483846,0.014473914161451237,1.1021998210223953,0,0,0,True
38,185,190,185.029521897,190.029521897,187.529521897,1034,206.96239011027114,-0.15331450676982553,0.015637717601547335,-1.0920037717601565,0.023231463407804,0.011975798815380944,0.012772904684958727,0.023231463407804,0.011975798815380944,0.012772904684958727,-0.2067,-0.0195,-1.1388,-0.10139999999999999,0.058499999999999996,-1.0413,0.02909068138469181,0.011686003495081147,1.1028246069689724,0,0,0,True
39,190,195,190.029521897,195.029521897,192.529521897,1035,206.94981121667954,-0.1535507246376809,0.01587130434782604,-1.0920715942028998,0.023162593677127603,0.011637023115656713,0.01363163218434394,0.023162593677127603,0.011637023115656713,0.01363163218434394,-0.20279999999999998,-0.0156,-1.1661,-0.09749999999999999,0.0702,-1.0295999999999998,0.029287325737514542,0.012763086156238057,1.1029279623816424,0,0,0,True
40,195,200,195.029521897,200.029521897,197.529521897,1034,206.9446543604363,-0.1534653771760152,0.015041779497098574,-1.0922677949709865,0.023948419759913252,0.015079691440213176,0.019284621647358224,0.023948419759913252,0.015079691440213176,0.019284621647358224,-0.2379,-0.078,-1.2635999999999998,-0.09749999999999999,0.1326,-0.9905999999999999,0.03424646748222059,0.01866194501155639,1.1030987322325219,0,0,0,True
41,200,205,200.029521897,205.029521897,202.529521897,1035,206.98557850902287,-0.1535431884057968,0.014955652173912986,-1.0916571014492757,0.02398713945845331,0.012596239544468207,0.014206173908046101,0.02398713945845331,0.012596239544468207,0.014206173908046101,-0.21059999999999998,-0.027299999999999998,-1.1465999999999998,-0.09359999999999999,0.054599999999999996,-1.0413,0.030591885969429227,0.01332812834379574,1.102503700393971,0,0,0,True
42,205,210,205.029521897,210.029521897,207.529521897,1035,206.90373901051424,-0.1536524637681155,0.015743188405797064,-1.0917852173913074,0.024677082039573042,0.011985165527960775,0.014844007682670317,0.024677082039573042,0.011985165527960775,0.014844007682670317,-0.22619999999999998,-0.058499999999999996,-1.1973,-0.0897,0.0819,-0.9984,0.03119210051925987,0.01397923608703997,1.1026567410202401,0,0,0,True
43,210,215,210.029521897,215.029521897,212.529521897,1034,206.87895359498953,-0.15369922630560906,0.015105899419729155,-1.0921093810444875,0.02359224127824634,0.012118961197891331,0.015649983747585156,0.02359224127824634,0.012118961197891331,0.015649983747585156,-0.2067,-0.0195,-1.1504999999999999,-0.09749999999999999,0.054599999999999996,-1.0413,0.03079586109117044,0.014767441823965537,1.1029753127471147,0,0,0,True
44,215,220,215.029521897,220.029521897,217.529521897,1035,206.91876160259434,-0.15339246376811572,0.015004637681159363,-1.0917136231884064,0.024713183737664957,0.01188622056675204,0.014486548080143274,0.024713183737664957,0.01188622056675204,0.014486548080143274,-0.2223,-0.023399999999999997,-1.1388,-0.09749999999999999,0.058499999999999996,-1.0295999999999998,0.031014251000005894,0.013443732075644277,1.1025393517457567,0,0,0,True
45,220,225,220.029521897,225.029521897,222.529521897,1035,206.95768064296652,-0.15409333333333292,0.014951884057970969,-1.0916684057971024,0.023414007616318157,0.012367043778229513,0.01192980746509218,0.023414007616318157,0.012367043778229513,0.01192980746509218,-0.21839999999999998,-0.023399999999999997,-1.131,-0.09749999999999999,0.054599999999999996,-1.0452,0.029042724228691388,0.010722770218999629,1.1025915936693187,0,0,0,True
46,225,230,225.029521897,230.029521897,227.529521897,1034,206.9052310660216,-0.15337108317214662,0.014868278529980593,-1.0925129593810448,0.024298400528960915,0.012107545145665796,0.012145458924222403,0.024298400528960915,0.012107545145665796,0.012145458924222403,-0.2067,-0.0195,-1.131,-0.09359999999999999,0.054599999999999996,-1.053,0.029740832036110214,0.010848553062618109,1.1033260267370524,0,0,0,True
47,230,235,230.029521897,235.029521897,232.529521897,1035,206.90125321115573,-0.15342260869565164,0.015400289855072398,-1.09201507246377,0.02447075649892107,0.01259480338789585,0.015768646346577916,0.02447075649892107,0.01259480338789585,0.015768646346577916,-0.2223,-0.0312,-1.1622,-0.09749999999999999,0.0624,-1.0101,0.03171903535123169,0.014761470853759558,1.102847489127419,0,0,0,True
48,235,240,235.029521897,240.029521897,237.529521897,1034,206.95711617634365,-0.15346160541586018,0.014838104448742697,-1.0918868471953607,0.023812812606476254,0.012391508240898493,0.0134188434270105,0.023812812606476254,0.012391508240898493,0.0134188434270105,-0.2145,-0.023399999999999997,-1.1622,-0.0819,0.058499999999999996,-1.0373999999999999,0.030011079281392534,0.012168731678392733,1.1027182417819477,0,0,0,True
49,240,245,240.029521897,245.029521897,242.529521897,1035,206.94189716169723,-0.15353565217391246,0.014801159420289799,-1.0916910144927547,0.024226554569599875,0.012037756969578805,0.012136800206836112,0.024226554569599875,0.012037756969578805,0.012136800206836112,-0.2145,-0.0156,-1.1349,-0.09359999999999999,0.050699999999999995,-1.0569,0.029650218522518538,0.010916507746258129,1.1025341454725444,0,0,0,True
50,245,250,245.029521897,250.029521897,247.529521897,1035,206.87137372700641,-0.15346782608695642,0.014978260869565167,-1.092003768115943,0.024069221001559803,0.011548098150278666,0.011883202747594218,0.024069221001559803,0.011548098150278666,0.011883202747594218,-0.2145,-0.0156,-1.131,-0.10139999999999999,0.050699999999999995,-1.0491,0.029221507114637824,0.010767648742855452,1.1028367746506964,0,0,0,True
51,250,255,250.029521897,255.029521897,252.529521897,1034,206.89208146839283,-0.153386170212766,0.015087040618955461,-1.0920905222437145,0.024376785501912093,0.012432735318088525,0.015655272905529396,0.024376785501912093,0.012432735318088525,0.015655272905529396,-0.2067,-0.0195,-1.1427,-0.0897,0.058499999999999996,-1.0295999999999998,0.031525991636148096,0.014735669882498711,1.102912800171313,0,0,0,True
52,255,260,255.029521897,260.029521897,257.529521897,1035,206.95082290381094,-0.15387101449275356,0.015343768115941988,-1.0918002898550752,0.024651632520531472,0.01220443600766009,0.013944786566303206,0.024651632520531472,0.01220443600766009,0.013944786566303206,-0.21059999999999998,-0.027299999999999998,-1.1388,-0.09749999999999999,0.054599999999999996,-1.053,0.030840044042967057,0.012828879875214168,1.102696510037395,0,0,0,True
53,260,265,260.029521897,265.029521897,262.529521897,1034,206.95191884066168,-0.1534238878143132,0.015188878143133416,-1.0917699226305635,0.024394673134546775,0.012334975751409414,0.014853927529448448,0.024394673134546775,0.012334975751409414,0.014853927529448448,-0.2067,-0.0195,-1.1427,-0.0897,0.050699999999999995,-1.0452,0.03111094449192027,0.013915977532754661,1.102601993165282,0,0,0,True
54,265,270,265.029521897,270.029521897,267.529521897,1035,206.91822078041162,-0.15372782608695623,0.015509565217391249,-1.0923202898550726,0.02453005449514885,0.012535833673829615,0.016692209236387676,0.02453005449514885,0.012535833673829615,0.016692209236387676,-0.20279999999999998,-0.023399999999999997,-1.1388,-0.0858,0.058499999999999996,-1.0295999999999998,0.032210255333111504,0.01596730018389506,1.103193730382712,0,0,0,True
55,270,275,270.029521897,275.029521897,272.529521897,1035,206.92673327104018,-0.15352811594202875,0.015079999999999946,-1.0923692753623182,0.024325067721154107,0.012427607416029706,0.013585234345734424,0.024325067721154107,0.012427607416029706,0.013585234345734424,-0.21059999999999998,-0.023399999999999997,-1.1465999999999998,-0.09359999999999999,0.054599999999999996,-1.0413,0.03050758820284243,0.012681078610061482,1.103208467398753,0,0,0,True
56,275,280,275.029521897,280.029521897,277.529521897,1035,206.99546449234916,-0.153524347826087,0.015566086956521678,-1.092120579710149,0.02391740349185211,0.012142500902464472,0.013646910133274643,0.02391740349185211,0.012142500902464472,0.013646910133274643,-0.21059999999999998,-0.0195,-1.1543999999999999,-0.09359999999999999,0.058499999999999996,-1.0373999999999999,0.03009519353890396,0.012807873850783691,1.1029684442743568,0,0,0,True
57,280,285,280.029521897,285.029521897,282.529521897,1034,206.8996555021392,-0.15342011605415834,0.015588684719535718,-1.0922376208897497,0.02396446518234644,0.011856730071141066,0.013451706964493276,0.02396446518234644,0.011856730071141066,0.013451706964493276,-0.2145,-0.023399999999999997,-1.1349,-0.0741,0.054599999999999996,-1.0452,0.02993035348462144,0.01232018737704491,1.1030701517076134,0,0,0,True
58,285,290,285.029521897,290.029521897,287.529521897,1035,206.99216365903882,-0.15289130434782566,0.015076231884057892,-1.09257275362319,0.023603656920863116,0.012272160683037362,0.013207295292348754,0.023603656920863116,0.012272160683037362,0.013207295292348754,-0.2145,-0.0195,-1.1349,-0.09749999999999999,0.058499999999999996,-1.0452,0.02970136691816376,0.012208455796282986,1.1033214697778526,0,0,0,True
59,290,295,290.029521897,295.029521897,292.529521897,1034,206.9193701985394,-0.15350686653771722,0.015264313346228183,-1.091981141199228,0.023613527604449437,0.012499538605119999,0.01643075742056131,0.023613527604449437,0.012499538605119999,0.01643075742056131,-0.21059999999999998,-0.023399999999999997,-1.1543999999999999,-0.10139999999999999,0.054599999999999996,-1.0373999999999999,0.031365696878601496,0.015577456340298699,1.102823725747197,0,0,0,True
60,295,300,295.029521897,300.029521897,297.529521897,1033,206.87232510024378,-0.1533043562439495,0.015214908034849895,-1.0923171345595368,0.023744949437957047,0.012072204937721126,0.013994563552344736,0.023744949437957047,0.012072204937721126,0.013994563552344736,-0.2145,-0.0195,-1.1465999999999998,-0.09359999999999999,0.058499999999999996,-1.0257,0.030090007724992162,0.012968467066759049,1.1031275726416405,0,0,0,True
